Connection,mean # of synapses,LHN surface area (μm2),mean synapse density (μm-2),mean EPSP amplitude (mV)
VL2p/ML3',9.571429,2379.8,0.004,0.71611048
DA4l/ML8',0,2327,0,0
DC1/ML8',0,2327,0,0
DL4/ML8',0,2327,0,0
DL5/ML8',0.75,2327,0.0003,NaN
DM1/ML8',17,2327,0.0073,2.32240857
DM4/ML8',15.75,2327,0.0068,1.10980746
DP1m/ML8',18.25,2327,0.0078,1.39218545
VA2/ML8',6.75,2327,0.0029,0
VA6/ML8',0.5,2327,0.0002,0
VC1/ML8',0.25,2327,0.0001,0
VL2a/ML8',0,2327,0,0
VL2p/ML8',0,2327,0,0
DA4l/ML9',0,2052.8,0,0
DC1/ML9',0,2052.8,0,0
DL4/ML9',0,2052.8,0,0
DL5/ML9',0,2052.8,0,0
DM1/ML9',39,2052.8,0.019,3.91653936
DM4/ML9',12.2,2052.8,0.0059,NaN
DP1m/ML9',13.2,2052.8,0.0064,1.1406098
VA2/ML9',5.2,2052.8,0.0025,0
VA6/ML9',0,2052.8,0,0
VC1/ML9',0,2052.8,0,0
VL2a/ML9',0,2052.8,0,0
VL2p/ML9',0,2052.8,0,NaN
DA4l/V2',0,2168.1,0,0
DC1/V2',0,2168.1,0,0
DL4/V2',0,2168.1,0,0
DL5/V2',0,2168.1,0,0
DM1/V2',0,2168.1,0,0
DM4/V2',0,2168.1,0,0
DP1m/V2',2,2168.1,0.0009,NaN
VA2/V2',0.25,2168.1,0.0001,0
VA6/V2',6.5,2168.1,0.003,0
VC1/V2',0,2168.1,0,0
VL2a/V2',13.75,2168.1,0.0063,2.46240283
VL2p/V2',4.5,2168.1,0.0021,NaN
DA4l/V3',5,2544.5,0.002,NaN
DC1/V3',0.5,2544.5,0.0002,0
DL4/V3',19,2544.5,0.0075,1.75984939
DL5/V3',4.75,2544.5,0.0019,0
DM1/V3',0,2544.5,0,0
DM4/V3',0,2544.5,0,0
DP1m/V3',0.75,2544.5,0.0003,0
VA2/V3',0.5,2544.5,0.0002,0
VA6/V3',5,2544.5,0.002,1.92217112
VC1/V3',3.25,2544.5,0.0013,0
VL2a/V3',22.25,2544.5,0.0087,1.60422109
VL2p/V3',21.25,2544.5,0.0084,1.41590037
DA4l/L13',0,1710.7,0,0
DC1/L13',0,1710.7,0,0
DL4/L13',0,1710.7,0,0
DL5/L13',0,1710.7,0,0.37863795
DM1/L13',0,1710.7,0,0
DM4/L13',0,1710.7,0,0
DP1m/L13',0,1710.7,0,0
VA2/L13',9,1710.7,0.0053,1.4024964
VA6/L13',0,1710.7,0,0
VC1/L13',0,1710.7,0,0
VL2a/L13',0,1710.7,0,0
VL2p/L13',0,1710.7,0,0
