leftid,rightid,celltype,annotated_name,left_name,right_name,cluster
17062823,16393165,DN-SEZ,no official annotation,KS LN 4a left,KS LN 4a right,3
3054101,3199456,sensory,gustatory-pharyngeal,MN-L-Sens-B3-ACp-04,MN-R-Sens-B3-ACp-05,3
5186461,9853425,sensory,gustatory-external,AN-L-Sens-B3-ACp-09 (gustatory pheromone neuron),AN-R-Sens-B3-ACp-09 (gustatory pheromone neuron),3
15938337,15595607,sensory,gustatory-external,MN-L-Sens-B2-ACp-08,MN-R-Sens-B2-ACp-08,3
11745381,15653432,sensory,gustatory-external,MN-L-Sens-B2-ACp-07,MN-R-Sens-B2-ACp-07,3
11821320,6220384,PN,gustatory-external 2nd_order PN,KS LN 3a left,KS LN 3a right,3
15681740,15589411,sensory,gustatory-external,MN-L-Sens-B2-ACp-21,MN-R-Sens-B2-ACp-21,3
5322337,6219781,LN,no official annotation,Maxillary Nerve LN 2 left,Maxillary Nerve LN 2 right,3
15714639,15595950,sensory,gustatory-external,MN-L-Sens-B2-ACpl-01 (Awesome MN sensory 2),MN-R-Sens-B2-ACpl-01 (Awesome MN sensory 2),3
11671564,15522777,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-21,AN-R-Sens-B2-ACp-21,3
15716934,15746421,sensory,gustatory-external,MN-L-Sens-B2-ACpl-02 (Awesome MN sensory 1),MN-R-Sens-B2-ACpl-02 (Awesome MN sensory 1),3
4338596,15652529,sensory,gustatory-external,MN-L-Sens-B2-ACp-01,MN-R-Sens-B2-ACp-01,3
15674262,15556081,sensory,gustatory-external,MN-L-Sens-B2-ACp-11 (Olfactory Gustatory connector 2),MN-R-Sens-B2-ACp-11,3
12882387,7563413,LN,no official annotation,Maxillary Nerve LN 1 left,Maxillary Nerve LN 1 right,3
18934019,15609885,sensory,gustatory-external,MN-L-Sens-B2-ACp-17,MN-R-Sens-B2-ACp-17,3
13380660,14517691,DN-SEZ,mPN,ginkgo 1 left,ginkgo 1 right,3
15679577,18625446,sensory,gustatory-external,MN-L-Sens-B2-ACp-10,MN-R-Sens-B2-ACp-10,3
15690093,15615042,sensory,gustatory-external,MN-L-Sens-B2-ACp-09,MN-R-Sens-B2-ACp-09,3
15677323,15653288,sensory,gustatory-external,MN-L-Sens-B2-ACp-18,MN-R-Sens-B2-ACp-19,3
3586984,3966683,sensory,gustatory-external,AN-L-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) ,AN-R-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) right,3
15689373,15588691,sensory,gustatory-external,MN-L-Sens-B2-ACp-12,MN-R-Sens-B2-ACp-12,3
17356454,2557644,DN-SEZ,no official annotation,BAla34 ventral cluster 1 left,BAla34 ventral cluster 1 right,4
15716309,15736147,sensory,gustatory-external,MN-L-Sens-B2-ACp-03,MN-R-Sens-B2-ACp-03,4
15716127,3071301,sensory,gustatory-external,MN-L-Sens-B2-ACp-13,MN-R-Sens-B2-ACp-13,4
5088293,4097554,sensory,gustatory-external,AN-L-Sens-B3-ACpl-10,AN-R-Sens-B3-ACpl-10,4
17355745,16158918,DN-SEZ,no official annotation,BAla12 descending 3 left,BAla12 descending 3 right,4
5116147,4017089,sensory,gustatory-external,AN-L-Sens-B3-ACal-06 (degraded alone temperature partner neuron),AN-R-Sens-B3-ACal-06 (Degraded? Temp?),4
15997692,15507888,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-18,AN-R-Sens-B2-ACp-20,4
15715643,16341399,sensory,gustatory-external,MN-L-Sens-B2-ACp-04,MN-R-Sens-B2-ACp-04,4
13313410,16586265,DN-SEZ,no official annotation,BAla34 ventral cluster 3 left,BAla34 ventral cluster 3 right,4
3539170,8159396,DN-SEZ,no official annotation,BAla12 descending 1 left,BAla12 descending 1 right,4
4991243,8227502,DN-SEZ,no official annotation,DPMpl12 Giraffe 1 left,DPMpl12 Giraffe 1 right ,4
15997645,15592696,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-14,AN-R-Sens-B2-ACp-11,4
17732291,17659219,DN-SEZ,no official annotation,DPMpl12 twig left,DPMpl12 twig right,4
17740547,13580849,DN-SEZ,no official annotation,DPMpl12 Girraffe 2 left,DPMpl12 Giraffe 2 right ,4
15680093,10934438,sensory,gustatory-external,MN-L-Sens-B2-ACp-19,MN-R-Sens-B2-ACp-18,4
12073881,12253020,sensory,gustatory-external,MN-L-Sens-B2-ACp-16,MN-R-Sens-B2-ACp-14,4
17814107,10167116,DN-SEZ,no official annotation,BAla34 ventral cluster 4 left,BAla34 ventral cluster 4 right,4
15995929,15506094,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-20,AN-R-Sens-B2-ACp-18,4
12000033,9750356,DN-SEZ,no official annotation,BAmas12 SEZ descending left; Another SOG PN left,BAmas12 SEZ descending right,4
15673867,15651438,sensory,gustatory-external,MN-L-Sens-B2-ACp-22,MN-R-Sens-B2-ACp-22,4
11736972,15595823,sensory,gustatory-external,MN-L-Sens-B2-ACp-15,MN-R-Sens-B2-ACp-15,4
15688358,15588800,sensory,gustatory-external,MN-L-Sens-B2-ACp-20,MN-R-Sens-B2-ACp-20,4
15998100,15458316,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-13,AN-R-Sens-B2-ACp-10,5
16288872,15639171,sensory,gustatory-pharyngeal,MN-L-Sens-B3-ACp-02,MN-R-Sens-B3-ACp-02,5
15998817,15530882,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-12,AN-R-Sens-B2-ACp-15,5
13830600,16057212,DN-SEZ,no official annotation,BAmas12_dor descending 1 left,BAmas12_dor descending 1 right,5
15998782,15531916,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-04,AN-R-Sens-B2-ACp-04,5
17423125,5559657,DN-SEZ,no official annotation,BAmas12 midline neuron 4 left,BAmas12 midline neuron 4 right,5
15998768,15525858,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-09,AN-R-Sens-B2-ACp-14,5
15997983,15434200,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-06,AN-R-Sens-B2-ACp-06,5
3797420,5558724,DN-SEZ,no official annotation,Input to both Munin PC 3 left- paired with #5558724,Input to both Munin PC 3 right; BAmas d 4 neuron 5558725,5
15673925,15615776,sensory,gustatory-external,MN-L-Sens-B2-ACpl-03,MN-R-Sens-B2-ACpl-03,5
5120097,4096703,sensory,gustatory-external,AN-L-Sens-B3-VM-12,AN-R-Sens-B3-VM-12,5
15590761,15409328,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-07,AN-R-Sens-B2-ACp-08,5
17351780,19054481,DN-SEZ,no official annotation,output to SEZ right,output to SEZ left,5
15998469,16341507,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-05,AN-R-Sens-B2-ACp-05,5
15998307,15573283,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-10,AN-R-Sens-B2-ACp-13,5
15998261,15451084,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-15,AN-R-Sens-B2-ACp-09,5
17728571,10221622,DN-SEZ,no official annotation,BAl descending left,BAl descending right,5
17728605,16463097,DN-SEZ,no official annotation,sneak left,sneak right,5
15998218,16341966,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-08,AN-R-Sens-B2-ACp-07,5
15677030,15656435,sensory,gustatory-external,MN-L-Sens-B2-VM-05,MN-R-Sens-B2-VM-05,5
18440675,12335381,DN-SEZ,no official annotation,BAmas12 midline 3 left,BAmas12 midline 3 right,5
3608397,3650600,sensory,thermo-cold,AN-L-Sens-B3-ACal-01 (temp sensing left neuron alone),AN-R-Sens-B3-ACal-01 (temp sensing right neuron alone),5
15997807,15398807,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-16,AN-R-Sens-B2-ACp-17,5
8055671,5448622,sensory,gustatory-external,MN-L-Sens-B1-ACpl-01,MN-R-Sens-B1-ACpl-01,5
15716094,15589362,sensory,gustatory-external,MN-L-Sens-B2-ACp-05,MN-R-Sens-B2-ACp-06,5
9842383,6219445,DN-SEZ,no official annotation,UNK anterior basal 1 left,UNK anterior basal 1 right; post lat ven #7 neuron 6219446 right,5
1706716,15541976,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-19,AN-R-Sens-B2-ACp-19,5
1715990,15573331,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-17,AN-R-Sens-B2-ACp-16,5
15997929,18620885,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-23,AN-R-Sens-B2-ACp-23,5
15717736,15639020,sensory,gustatory-pharyngeal,MN-L-Sens-B3-ACp-05,MN-R-Sens-B3-ACp-04,5
11229136,17529547,DN-SEZ,no official annotation,BAla12 descending 2 left,BAla12 descending 2 right,5
15717935,3123905,sensory,gustatory-pharyngeal,MN-L-Sens-B3-ACpl-07,MN-R-Sens-B3-ACpl-07,5
7556564,15640893,sensory,gustatory-pharyngeal,MN-L-Sens-B3-ACp-03,MN-R-Sens-B3-ACp-03,5
7439909,15531033,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-03,AN-R-Sens-B2-ACp-03,5
15995404,15461769,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-22,AN-R-Sens-B2-ACp-22,5
17359133,869360,DN-SEZ,no official annotation,SEZ cup left,SEZ cup right,5
3652587,3822523,sensory,gustatory-external,AN-L-Sens-B3-ACp-08,AN-R-Sens-B3-ACp-08,5
3639968,18630153,sensory,thermo-cold,AN-L-Sens-B3-ACal-02 (temp sensing left neuron together 2),AN-R-Sens-B3-ACal-02 (temp sensing right neuron together 2),5
3609202,3487306,sensory,thermo-cold,AN-L-Sens-B3-ACal-03 (temp sensing left neuron together 1),AN-R-Sens-B3-ACal-03 (temp sensing right neuron together 1),5
15686512,15615081,sensory,gustatory-external,MN-L-Sens-B2-ACp-14,MN-R-Sens-B2-ACp-16,5
3486867,5478818,DN-SEZ,PL-1,130729_SFO Cand 42a-42b_OSN_IN1 left,130729_SFO Cand 42a-42b_OSN_IN1 right,5
15996518,3795498,sensory,gustatory-pharyngeal,AN-L-Sens-B2-ACp-11,AN-R-Sens-B2-ACp-12,5
15717426,8810739,sensory,gustatory-external,MN-L-Sens-B2-AVp-02,MN-R-Sens-B2-AVp-02,6
5057916,16115501,sensory,gustatory-external,AN-L-Sens-B3-VM-11,AN-R-Sens-B3-VM-11,6
1347886,7160160,sensory,gustatory-pharyngeal,AN-L-Sens-B2-AVp-01,AN-R-Sens-B2-AVp-01,6
15715151,15653927,sensory,gustatory-external,MN-L-Sens-B2-VM-01,MN-R-Sens-B2-VM-01,6
1427012,15547732,sensory,enteric,AN-L-Sens-B1-AVa-32,AN-R-Sens-B1-AVa-33,6
15718275,15645825,sensory,gustatory-pharyngeal,MN-L-Sens-B3-ACp-06 (J Neuron),MN-R-Sens-B3-ACp-06,6
15723727,15641926,sensory,gustatory-pharyngeal,MN-L-Sens-B3-ACp-01,MN-R-Sens-B3-ACp-01,6
15996160,15533421,sensory,gustatory-pharyngeal,AN-L-Sens-B2-AVp-03,AN-R-Sens-B2-AVp-02,6
9808022,15658013,sensory,gustatory-external,MN-L-Sens-B2-AVp-01,MN-R-Sens-B2-AVp-01,6
17608754,16362243,sensory,gustatory-pharyngeal,AN-L-Sens-B2-VM-07,AN-R-Sens-B2-VM-07,7
15717229,15629241,sensory,gustatory-external,MN-L-Sens-B2-VM-15,MN-R-Sens-B2-VM-15,7
15724636,15671848,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-08,MN-R-Sens-B3-VM-09,7
15724520,15638520,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-06,MN-R-Sens-B3-VM-06,7
15725127,15637893,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-10,MN-R-Sens-B3-VM-05,7
15725545,15639275,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-09,MN-R-Sens-B3-VM-08,7
15698623,15594123,sensory,gustatory-external,MN-L-Sens-B1-VM-02,MN-R-Sens-B1-VM-02,7
15678849,15618976,sensory,gustatory-external,MN-L-Sens-B2-VM-12,MN-R-Sens-B2-VM-12,7
15690711,15762568,sensory,gustatory-external,MN-L-Sens-B2-VM-14,MN-R-Sens-B2-VM-14,7
15996271,15505837,sensory,gustatory-pharyngeal,AN-L-Sens-B2-VM-06,AN-R-Sens-B2-AVp-06,7
15714845,15615475,sensory,gustatory-external,MN-L-Sens-B2-VM-10,MN-R-Sens-B2-VM-10,7
15713374,15620432,sensory,gustatory-external,MN-L-Sens-B2-VM-17,MN-R-Sens-B2-VM-17,7
15712024,15620606,sensory,gustatory-external,MN-L-Sens-B2-VM-13,MN-R-Sens-B2-VM-13,7
15711289,18679889,sensory,gustatory-external,MN-L-Sens-B2-VM-16,MN-R-Sens-B2-VM-16,7
15700147,15743905,sensory,gustatory-external,MN-L-Sens-B1-VM-04,MN-R-Sens-B1-VM-04,7
15727304,15672153,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-04,MN-R-Sens-B3-VM-04,7
7480731,no pair,sensory,visual,Rh5PR-1;left,no pair,8
17728632,17327188,other,no official annotation,BAlc post ascending 1 left,BAlc post ascending 1 right,8
15608355,6252764,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,BAlc post lat lat 6 AL left,BAlc post lat lat 6 AL right,8
no pair,7778722,sensory,visual,no pair,Rh5PR-6;right,8
no pair,766246,sensory,visual,no pair,Rh5PR-1;right,8
16435686,18861011,other,no official annotation,BAla34 ascending 1 left,BAla34 ascending 1 right,8
12089601,11838242,PN,gustatory-pharyngeal 2nd_order PN,BAlc_post I2 left,BAlc_post I2 right,8
2216187,no pair,sensory,visual,Rh5PR-2;left,no pair,8
2209091,no pair,sensory,visual,Rh5PR-4;left,no pair,8
no pair,902877,sensory,visual,no pair,Rh5PR-2;right,8
19101351,3848843,PN,gustatory-external 2nd_order PN,BLVp1 bilateral descending left,BLVp1 bilateral descending right; DP1 of GPhN right (ipsilateral PN to bilateral LH); BLVp1 4,8
no pair,7485368,sensory,visual,no pair,Rh5PR-3;right,8
7483922,no pair,sensory,visual,Rh5PR-3;left,no pair,8
1351125,15564911,sensory,enteric,AN-L-Sens-B1-AVa-40,AN-R-Sens-B1-AVa-27,9
15723479,15640548,sensory,gustatory-pharyngeal,MN-L-Sens-B3-AVp-02,MN-R-Sens-B3-AVp-02,9
15995327,15748726,sensory,enteric,AN-L-Sens-B1-AVa-37,AN-R-Sens-B1-AVa-43,9
15714330,15638742,sensory,gustatory-external,MN-L-Sens-B1-VM-03,MN-R-Sens-B1-VM-03,9
15690955,15617459,sensory,gustatory-external,MN-L-Sens-B2-VM-06,MN-R-Sens-B2-VM-06,9
3032520,15640425,sensory,gustatory-pharyngeal,MN-L-Sens-B3-AVp-03,MN-R-Sens-B3-AVp-03,9
5095269,4030526,sensory,gustatory-external,AN-L-Sens-B3-VM-14,AN-R-Sens-B3-VM-14,9
17380936,15542354,sensory,enteric,AN-L-Sens-B1-AVa-33,AN-R-Sens-B1-AVa-42,9
5116861,4059758,sensory,gustatory-external,AN-L-Sens-B3-VM-15,AN-R-Sens-B3-VM-15,9
1419315,15575232,sensory,enteric,AN-L-Sens-B1-AVa-31,AN-R-Sens-B1-AVa-35,9
15711222,15607180,sensory,gustatory-external,MN-L-Sens-B2-VM-07,MN-R-Sens-B2-VM-07,9
no pair,15574508,sensory,enteric,no pair,AN-R-Sens-B1-AVa-38,9
no pair,15575052,sensory,enteric,no pair,AN-R-Sens-B1-AVa-36,9
17359101,865151,DN-SEZ,no official annotation,BAmas12 midline neuron 2 left,BAmas12 midline neuron 2 right,9
15994926,15576194,sensory,enteric,AN-L-Sens-B1-AVa-36,AN-R-Sens-B1-AVa-40,9
15699715,18833414,sensory,gustatory-external,MN-L-Sens-B2-VM-23,MN-R-Sens-B2-VM-23,9
5030808,10831005,LN,no official annotation,keystone left,keystone right,10
8877971,3806573,LN,no official annotation,picky 2 left,picky 2 right,10
8274021,11051276,LN,no official annotation,picky 3 left,picky 3 right,10
16795838,16795524,PN,mPN; mPN iACT bilateral UPPER; Multiglomerular PN 1; mPN; olfactory 2nd_order PN; thermo-warm 2nd_order PN,mPN iACT bilateral UPPER left,mPN iACT bilateral UPPER right,10
8311264,8198238,LN,no official annotation,broad T2 left,broad T2 right,10
10555409,5247102,LN,no official annotation,picky 4 left,picky 4 right,10
7939890,6557581,LN,no official annotation,broad T3 left,broad T3 right,10
7939979,8198317,LN,no official annotation,broad T1 left,broad T1 right,10
5291791,8199671,LN,no official annotation,picky 0 left,picky 0 right,10
7941642,8198513,LN,no official annotation,broad D2 left,broad D2 right,10
7941652,8198416,LN,_broad D1,broad D1 left,broad D1 right,10
7394271,8231264,LN,no official annotation,choosy 1 left,choosy 1 right,10
8102935,7600311,LN,no official annotation,picky 1 left,picky 1 right,10
8273369,4247099,LN,no official annotation,choosy 2 left,choosy 2 right,10
10865025,4116174,DN-SEZ,FFN-39,lAL-1 (octopaminergic) left,lAL-1 (octopaminergic) right,10
15995861,15445198,sensory,gustatory-pharyngeal,AN-L-Sens-B2-VM-08,AN-R-Sens-B2-VM-08,11
15714173,15671481,sensory,gustatory-external,MN-L-Sens-B1-VM-05,MN-R-Sens-B1-VM-05,11
15678833,3562954,sensory,gustatory-external,MN-L-Sens-B2-VM-21,MN-R-Sens-B2-VM-21,11
1428271,15572414,sensory,enteric,AN-L-Sens-B1-AVa-22,AN-R-Sens-B1-AVa-25,11
1432836,15564782,sensory,enteric,AN-L-Sens-B1-AVa-18,AN-R-Sens-B1-AVa-23,11
15728017,15640567,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-13,MN-R-Sens-B3-VM-13,11
3267019,15612241,sensory,gustatory-external,MN-L-Sens-B2-VM-19,MN-R-Sens-B2-VM-19,11
15675901,15615877,sensory,gustatory-external,MN-L-Sens-B2-VM-22,MN-R-Sens-B2-VM-22,11
3036249,15672957,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-12,MN-R-Sens-B3-VM-12,11
3050645,15639548,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-14,MN-R-Sens-B3-VM-10,11
15730645,15914721,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-05,MN-R-Sens-B3-VM-14,11
15730680,15618756,sensory,gustatory-external,MN-L-Sens-B2-VM-20,MN-R-Sens-B2-VM-20,11
7198338,8245869,PN,24a PN; uPN; olfactory 2nd_order PN,24a PN left,24a PN right,12
4354933,14604028,PN,85c PN; uPN; olfactory 2nd_order PN,85c PN left,85c PN right,12
7092417,8246750,PN,47a&33b PN; uPN; olfactory 2nd_order PN,47a & 33b PN left,47a & 33b PN right,12
3486381,8244723,PN,42a PN; uPN; olfactory 2nd_order PN,42a PN left,42a PN right,12
8399890,4651929,PN,94a&94b PN; uPN; olfactory 2nd_order PN,94a & 94b PN left,94a & 94b PN right,12
7107433,8253413,PN,45b PN; uPN; olfactory 2nd_order PN,45b PN left,45b PN right,12
7515491,11279244,PN,49a PN; uPN; olfactory 2nd_order PN,49a PN left,49a PN right,12
16259595,8246081,PN,67b PN; uPN; olfactory 2nd_order PN,67b PN left,67b PN right,12
7865767,8243455,PN,83a PN; uPN; olfactory 2nd_order PN,83a PN left,83a PN right,12
7845346,8245513,PN,63a PN; uPN; olfactory 2nd_order PN,63a PN left,63a PN right,12
7851153,8245146,PN,82a PN; uPN; olfactory 2nd_order PN,82a PN left,82a PN right,12
7852250,8247451,PN,45a PN; uPN; olfactory 2nd_order PN,45a PN left,45a PN right,12
7864823,8245014,PN,59a PN; uPN; olfactory 2nd_order PN,59a PN left,59a PN right,12
7865652,8248631,PN,22c PN; uPN; olfactory 2nd_order PN,22c PN left,22c PN right,12
7865696,8252067,PN,1a PN; uPN; olfactory 2nd_order PN,1a PN left,1a PN right,12
4493199,8244823,PN,13a PN; uPN; olfactory 2nd_order PN,13a PN left,13a PN right,12
8021456,13589251,PN,33a PN; uPN; olfactory 2nd_order PN,33a PN left,33a PN right,12
7873135,8245692,PN,42b PN; uPN; olfactory 2nd_order PN,42b PN left,42b PN right,12
7916593,8256186,PN,30a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,30a PN left,30a PN right,12
7934904,7935088,PN,35a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,35a PN bilateral left,35a PN bilateral right,12
7843730,8140109,PN,74a PN; uPN; olfactory 2nd_order PN,74a PN left,74a PN right,12
1924051,17698681,DN-SEZ,no official annotation,BAmas12 midline neuron 1 left,BAmas12 midline neuron 1 right,13
19180425,15609427,sensory,gustatory-external,MN-L-Sens-B2-VM-24,MN-R-Sens-B2-?-00,13
15674083,15611791,sensory,gustatory-external,MN-L-Sens-B2-VM-02,MN-R-Sens-B2-VM-02,13
1415168,945309,sensory,enteric,AN-L-Sens-B1-AVa-26,AN-R-Sens-B1-AVa-44,13
15725673,18785124,sensory,gustatory-pharyngeal,MN-L-Sens-B3-VM-07,MN-R-Sens-B3-VM-07,13
15680710,15629355,sensory,gustatory-external,MN-L-Sens-B2-VM-03,MN-R-Sens-B2-VM-03,13
15678441,15611642,sensory,gustatory-external,MN-L-Sens-B2-VM-09,MN-R-Sens-B2-VM-09,13
16014607,3122533,other,no official annotation,BLDc descending 1 left,BLDc descending 1 right; BPL feedback local R,14
5778133,21590958,pre-DN-VNC,no official annotation,BLP34 posterior ventral ipsilateral neuron left,BLP34 posterior ventral ipsilateral neuron right,14
5767836,20443505,other,no official annotation,BLP hook local left,BLP hook local right,14
7766016,10937355,ascending,mechano-Ch,H-shaped _a1l,H-shaped_a1r,14
11717040,21590962,other,no official annotation,BLP12 gripper 3 left; dpn_left_1304_10,BLP12 gripper 3 right,14
2123422,2784471,ascending,mechano-Ch,hook-1_a1l,hook-1_a1r,14
11717045,21590978,other,no official annotation,BLP12 hook 5 left; dpn_left_1304_9,BLP12 hook 5 right,14
11717035,21591317,other,no official annotation,BLP12 not great pair hook left; dpn_left_1304_12,BLP12 not great pair hook right,14
11717025,8413543,other,no official annotation,BLP12 descending 4 left; dpn_left_1304_7,BLP12 descending 4 right; BLP12 a 8,14
2910892,2885630,PN-somato,mechano-Ch 2nd_order PN,UNK triple branch left,UNK triple branch right; Ipsilateral BPL interneuron (hook target),14
11286854,8942413,PN-somato,mechano-Ch 2nd_order PN,BLVa34 hook left,BLVa34 hook right,14
11756023,20344845,other,no official annotation,BLP12 descending 2 left; dpn_left_1304_13,BLP12 descending 2 right,14
11717014,21591037,pre-DN-VNC,no official annotation,BLP12 gripper 2 left; dpn_left_1304_4,BLP12 gripper 2 right; BLP1/2 a R,14
17360286,17360225,pre-DN-VNC,no official annotation,DALv1 contralateral 1 left,DALv1 contralateral 1 right,14
17729195,5545085,PN-somato,mechano-Ch 2nd_order PN,BLDc crinkled left,BLDc crinkled right,14
17729424,8821758,PN-somato,noci 2nd_order PN,BLVa34 small ipsi 2 left,BLVa34 small ipsi 2 right; BLVa34 a 5,14
12367135,16666673,pre-DN-VNC,no official annotation,BLVa_t hook 3 left,BLVa_t hook 3 right,14
12366640,17897298,other,no official annotation,BLV hook 1 left,BLV hook 1 right,14
15586914,16176721,other,no official annotation,BLVp1 hook 2 left,BLVp1 hook 2 right,14
12923749,10663559,pre-DN-SEZ,no official annotation,BLAv12_lat pointer 1 left,BLAv12_lat pointer 1 right,14
16490014,1141813,PN-somato,noci 2nd_order PN,BLVa34 local hook left,BLVa34 local hook right; downstream of basket PN; BLVa34 a 4,14
16950321,4127911,other,no official annotation,BLP34 hook 1 left,BLP34 hook 1 right,14
14437742,3806652,DN-SEZ,mPN,spruce left,spruce right,15
11195708,13968203,DN-SEZ,no official annotation,KS LN 4b left,KS LN 4b right,15
11105182,10158972,DN-SEZ,mPN,clamp left,clamp right,15
17356450,17355872,DN-SEZ,no official annotation,BAla34 ventral cluster 2 left,BAla34 ventral cluster 2 right,15
1435466,15546924,sensory,enteric,AN-L-Sens-B1-AVa-21,AN-R-Sens-B1-AVa-30,16
16588928,17355892,DN-SEZ,no official annotation,BAla34 descending left,BAla34 descending right,16
15724385,15638968,sensory,gustatory-pharyngeal,MN-L-Sens-B3-AVp-01,MN-R-Sens-B3-AVp-01,16
